id,difficulty,question,answer,sources_cited,expected_sources,found_sources,source_match,is_rejected,faithfulness_score,relevance_score,source_correctness_score,completeness_score,notes
Q11,medium,Apa saja manfaat program Jaminan Kehilangan Pekerjaan (JKP)?,"Manfaat program Jaminan Kehilangan Pekerjaan (JKP) bagi Pekerja/Buruh yang mengalami Pemutusan Hubungan Kerja berupa:
1. Manfaat uang tunai [S1].
2. Akses informasi pasar kerja [S1].
3. Pelatihan Kerja [S1].","[S1], [S2], [S3]",pp-37-2021,pp-37-2021,YES,NO,2,2,2,0,F:Grounded answer with citations | R:High keyword overlap (6/8) | S:All 3 sources match retrieved docs | C:Very short answer (29 words)
Q12,medium,Bagaimana penyelesaian perselisihan hubungan industrial melalui mediasi?,"Penyelesaian perselisihan hubungan industrial difasilitasi oleh pemerintah melalui penyediaan tenaga mediator yang bertugas untuk mempertemukan kepentingan kedua belah pihak yang berselisih [S1]. 

Dalam hal penyelesaian melalui mediasi tidak mencapai kesepakatan yang dituangkan dalam perjanjian bersama, maka salah satu pihak dapat mengajukan gugatan ke Pengadilan Hubungan Industrial [S2, S3, S4].

DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.","[S1], [S2], [S3], [S4]",uu-2-2004,uu-2-2004,YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (6/7) | S:All 4 sources match retrieved docs | C:Partial answer (63 words)
Q13,medium,Apa yang dimaksud dengan struktur dan skala upah?,Struktur dan Skala Upah adalah susunan tingkat upah dari yang terendah sampai dengan yang tertinggi atau dari yang tertinggi sampai dengan yang terendah yang memuat kisaran nilai nominal upah dari yang terkecil sampai dengan yang terbesar untuk setiap golongan jabatan [S1].,[S1],"permenaker-1-2017, pp-36-2021","pp-36-2021, permenaker-1-2017",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (6/8) | S:All 1 sources match retrieved docs | C:Partial answer (41 words)
Q14,hard,"Bagaimana ketentuan PHK menurut regulasi yang tersedia, termasuk hak-hak yang timbul?",Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,"uu-13-2003, uu-6-2023, pp-35-2021",uu-6-2023,YES,YES,0,1,2,1,"F:REJECTED but source_match=YES (over-refusal) | R:Rejected - partial relevance (context insufficient) | S:Rejected, source check N/A | C:Rejected - completeness N/A (context insufficient)"
Q15,hard,Apa perbedaan antara PKWT dan PKWTT?,"Perbedaan antara PKWT dan PKWTT adalah:

* **PKWT (Perjanjian Kerja Waktu Tertentu)** adalah perjanjian kerja antara pekerja/buruh dengan pengusaha untuk mengadakan hubungan kerja dalam waktu tertentu atau untuk pekerjaan tertentu [S1].
* **PKWTT (Perjanjian Kerja Waktu Tidak Tertentu)** adalah perjanjian kerja antara pekerja/buruh dengan pengusaha untuk mengadakan hubungan kerja yang bersifat tetap [S1].",[S1],"uu-13-2003, pp-35-2021",pp-35-2021,YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (5/6) | S:All 1 sources match retrieved docs | C:Partial answer (53 words)
Q16,hard,Bagaimana hubungan antara UU Cipta Kerja dan UU 13/2003 terkait pengupahan dan pesangon?,"Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*",,"uu-6-2023, uu-13-2003, pp-35-2021","uu-13-2003, uu-6-2023, pp-36-2021",YES,YES,0,1,2,1,"F:REJECTED but source_match=YES (over-refusal) | R:Rejected - partial relevance (context insufficient) | S:Rejected, source check N/A | C:Rejected - completeness N/A (context insufficient)"
Q17,hard,Apa saja program jaminan sosial ketenagakerjaan dan badan yang menyelenggarakannya?,"Berdasarkan dokumen yang tersedia, berikut adalah program jaminan sosial dan badan yang menyelenggarakannya:

* **Program Jaminan Sosial Tenaga Kerja (swasta) berdasarkan UU No. 3 Tahun 1992:**
  1. Jaminan pemeliharaan kesehatan [S3]
  2. Jaminan kecelakaan kerja [S3], [S4]
  3. Jaminan hari tua [S3], [S4]
  4. Jaminan kematian [S3], [S4]

* **Program untuk Pegawai Negeri Sipil (PNS):**
  1. Dana Tabungan dan Asuransi Pegawai Negeri [S3]
  2. Asuransi Kesehatan (ASKES) [S3]

* **Program Jaminan Kehilangan Pekerjaan (JKP):**
  Jaminan sosial yang diberikan kepada pekerja/buruh yang mengalami pemutusan hubungan kerja [S2].

* **Badan Penyelenggara:**
  1. **BPJS Ketenagakerjaan:** Badan hukum publik yang dibentuk berdasarkan Undang-Undang Nomor 24 Tahun 2011 [S1].
  2. **BPJS Kesehatan:** Badan hukum yang dibentuk untuk menyelenggarakan program Jaminan Kesehatan [S1].

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*","[S1], [S2], [S3], [S4]","uu-40-2004, uu-24-2011, pp-37-2021","pp-37-2021, uu-24-2011, uu-40-2004",YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (8/10) | S:All 4 sources match retrieved docs | C:Detailed answer (131 words)
Q18,out-of-domain,Bagaimana ketentuan pajak penghasilan bagi perusahaan tambang?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,,uu-6-2023,NO,YES,2,2,2,2,"F:OOD correctly rejected | R:OOD - relevance N/A, rejection is correct behavior | S:OOD correctly rejected, no sources needed | C:OOD correctly rejected"
Q19,out-of-domain,Apa saja syarat pembayaran dividen oleh BUMN?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,,"pp-35-2021, uu-6-2023, uu-13-2003",NO,YES,2,2,2,2,"F:OOD correctly rejected | R:OOD - relevance N/A, rejection is correct behavior | S:OOD correctly rejected, no sources needed | C:OOD correctly rejected"
Q20,out-of-domain,Siapa presiden Indonesia saat ini?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,,"uu-6-2023, uu-24-2011, uu-21-2000",NO,YES,2,2,2,2,"F:OOD correctly rejected | R:OOD - relevance N/A, rejection is correct behavior | S:OOD correctly rejected, no sources needed | C:OOD correctly rejected"
