id,difficulty,question,answer,sources_cited,expected_sources,found_sources,source_match,is_rejected,faithfulness_score,relevance_score,source_correctness_score,completeness_score,notes
Q11,medium,Apa saja manfaat program Jaminan Kehilangan Pekerjaan (JKP)?,"Manfaat program Jaminan Kehilangan Pekerjaan (JKP) meliputi:
1. **Uang tunai** [S1, S3, S4], yang diberikan paling banyak 6 (enam) bulan upah [S4].
2. **Akses informasi pasar kerja** [S1, S3, S4].
3. **Pelatihan kerja** [S1, S3, S4].

Sumber: [S1], [S3], [S4]","[S1], [S2], [S3], [S4]",pp-37-2021,"uu-6-2023, pp-37-2021",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (6/8) | S:All 4 sources match retrieved docs | C:Partial answer (40 words)
Q12,medium,Bagaimana penyelesaian perselisihan hubungan industrial melalui mediasi?,"Penyelesaian perselisihan hubungan industrial melalui mediasi dilaksanakan berdasarkan ketentuan berikut:

1. **Pengertian dan Jenis Perselisihan:** Mediasi merupakan penyelesaian perselisihan hak, perselisihan kepentingan, perselisihan pemutusan hubungan kerja (PHK), dan perselisihan antar serikat pekerja/serikat buruh hanya dalam satu perusahaan melalui musyawarah yang ditengahi oleh satu atau lebih mediator netral [S1].
2. **Pelaksana Mediasi:** Penyelesaian dilakukan oleh mediator yang bertugas mempertemukan kepentingan kedua belah pihak yang berselisih. Mediator ini berada di setiap kantor instansi yang bertanggung jawab di bidang ketenagakerjaan Kabupaten/Kota [S2, S4].
3. **Persyaratan Sebelum Pengadilan:** Apabila kedua belah pihak tidak menyepakati penyelesaian melalui konsiliasi atau arbitrase, maka perselisihan wajib terlebih dahulu diselesaikan melalui mediasi sebelum diajukan ke Pengadilan Hubungan Industrial [S3].
4. **Jangka Waktu Penyelesaian:** Mediator menyelesaikan tugasnya dalam waktu selambat-lambatnya 30 (tiga puluh) hari kerja terhitung sejak menerima perselisihan [S5].
5. **Tindak Lanjut Jika Ditolak:** Apabila anjuran tertulis dari mediasi ditolak oleh salah satu atau kedua belah pihak, para pihak atau salah satu pihak dapat melanjutkan penyelesaian ke Pengadilan Hubungan Industrial pada Pengadilan Negeri setempat dengan mengajukan gugatan [S5].","[S1], [S2], [S3], [S4], [S5]",uu-2-2004,uu-2-2004,YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (6/7) | S:All 5 sources match retrieved docs | C:Detailed answer (169 words)
Q13,medium,Apa yang dimaksud dengan struktur dan skala upah?,"Berdasarkan dokumen yang tersedia:

* **Struktur Upah** adalah susunan tingkat upah dari yang terendah sampai dengan yang tertinggi atau dari yang tertinggi sampai dengan yang terendah [S1].
* **Skala Upah** adalah kisaran nilai nominal upah dari yang terkecil sampai dengan yang terbesar untuk setiap golongan jabatan [S1].",[S1],"permenaker-1-2017, pp-36-2021","permenaker-1-2017, pp-36-2021",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (5/8) | S:All 1 sources match retrieved docs | C:Partial answer (47 words)
Q14,hard,"Bagaimana ketentuan PHK menurut regulasi yang tersedia, termasuk hak-hak yang timbul?","Berdasarkan dokumen regulasi yang tersedia, ketentuan mengenai Pemutusan Hubungan Kerja (PHK) dan hak-hak yang timbul diatur sebagai berikut:

1. **Hak Pekerja/Buruh dalam Keadaan/Kejadian Tertentu:**
   Dalam keadaan atau kejadian tertentu (seperti bencana alam, kerusuhan sosial, atau gangguan keamanan), hak-hak yang diberikan kepada Pekerja/Buruh sesuai peraturan perundang-undangan, Perjanjian Kerja, Peraturan Perusahaan, atau Perjanjian Kerja Bersama adalah hak-hak yang harus diberikan yang lebih baik dan menguntungkan Pekerja/Buruh yang bersangkutan [S1].

2. **Hak Pekerja/Buruh Jika Pengusaha Tidak Mengikutsertakan dalam Program JKP:**
   Apabila terjadi PHK dan pengusaha tidak mengikutsertakan Pekerja/Buruh dalam program JKP (Jaminan Kehilangan Pekerjaan), pengusaha wajib memenuhi hak Pekerja/Buruh berupa [S3]:
   * Manfaat uang tunai yang diberikan secara sekaligus [S3].
   * Manfaat pelatihan kerja [S3].

---
DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.","[S1], [S2], [S3]","uu-13-2003, uu-6-2023, pp-35-2021","uu-6-2023, uu-40-2004, pp-37-2021, uu-13-2003",YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (7/10) | S:All 3 sources match retrieved docs | C:Detailed answer (127 words)
Q15,hard,Apa perbedaan antara PKWT dan PKWTT?,"Berdasarkan dokumen yang tersedia, perbedaan antara PKWT dan PKWTT adalah sebagai berikut:

1. **PKWT (Perjanjian Kerja Waktu Tertentu):** 
   - Merupakan perjanjian kerja antara Pekerja/Buruh dengan Pengusaha untuk mengadakan hubungan kerja dalam **waktu tertentu** atau untuk **pekerjaan tertentu** [S1].
   - Didasarkan atas jangka waktu atau selesainya suatu pekerjaan tertentu [S2].
   - Tidak dapat diadakan untuk pekerjaan yang bersifat tetap [S2].

2. **PKWTT (Perjanjian Kerja Waktu Tidak Tertentu):** 
   - Merupakan perjanjian kerja yang dibuat untuk **waktu tidak tertentu** [S1], [S2].","[S1], [S2]","uu-13-2003, pp-35-2021",pp-35-2021,YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (5/6) | S:All 2 sources match retrieved docs | C:Partial answer (78 words)
Q16,hard,Bagaimana hubungan antara UU Cipta Kerja dan UU 13/2003 terkait pengupahan dan pesangon?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,"uu-6-2023, uu-13-2003, pp-35-2021","permenaker-1-2017, uu-6-2023, pp-36-2021",YES,YES,0,1,2,1,"F:REJECTED but source_match=YES (over-refusal) | R:Rejected - partial relevance (context insufficient) | S:Rejected, source check N/A | C:Rejected - completeness N/A (context insufficient)"
Q17,hard,Apa saja program jaminan sosial ketenagakerjaan dan badan yang menyelenggarakannya?,"Berdasarkan dokumen yang disediakan, berikut adalah program jaminan sosial dan badan penyelenggaranya yang tercantum dalam teks:

**Program Jaminan Sosial:**
1. **Jaminan Kehilangan Pekerjaan**: Hak bagi pekerja/buruh yang mengalami pemutusan hubungan kerja [S2].
2. **Jaminan Kesehatan**: Program jaminan kesehatan [S4].
3. **Jaminan Sosial Pekerja Migran Indonesia** [S5].

**Badan Penyelenggara:**
1. **BPJS Ketenagakerjaan (Badan Penyelenggara Jaminan Sosial Ketenagakerjaan)** dan **Pemerintah Pusat**: Menyelenggarakan program Jaminan Kehilangan Pekerjaan [S2], [S4].
2. **BPJS Kesehatan (Badan Penyelenggara Jaminan Sosial Kesehatan)**: Menyelenggarakan program Jaminan Kesehatan [S4].
3. **Badan Penyelenggara Jaminan Sosial**: Menyelenggarakan program Jaminan Sosial Pekerja Migran Indonesia [S5].","[S2], [S3], [S4], [S5]","uu-40-2004, uu-24-2011, pp-37-2021","uu-6-2023, pp-37-2021, uu-40-2004",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (7/10) | S:All 4 sources match retrieved docs | C:Partial answer (92 words)
Q18,out-of-domain,Bagaimana ketentuan pajak penghasilan bagi perusahaan tambang?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,,"uu-6-2023, pp-36-2021",NO,YES,2,2,2,2,"F:OOD correctly rejected | R:OOD - relevance N/A, rejection is correct behavior | S:OOD correctly rejected, no sources needed | C:OOD correctly rejected"
Q19,out-of-domain,Apa saja syarat pembayaran dividen oleh BUMN?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,,"uu-6-2023, pp-35-2021, pp-37-2021, uu-13-2003",NO,YES,2,2,2,2,"F:OOD correctly rejected | R:OOD - relevance N/A, rejection is correct behavior | S:OOD correctly rejected, no sources needed | C:OOD correctly rejected"
Q20,out-of-domain,Siapa presiden Indonesia saat ini?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,,"uu-6-2023, uu-13-2003, uu-21-2000, pp-36-2021",NO,YES,2,2,2,2,"F:OOD correctly rejected | R:OOD - relevance N/A, rejection is correct behavior | S:OOD correctly rejected, no sources needed | C:OOD correctly rejected"
